Area,Item,Year,Value
Australia,cattle,2010,2128598
Australia,cattle,2011,2129021
Australia,cattle,2012,2152031
Australia,cattle,2013,2359064
Australia,cattle,2014,2595149
Australia,cattle,2015,2661640
Australia,cattle,2016,2315994
Australia,cattle,2017,2048517
Australia,cattle,2018,2219103
Australia,chicken,2010,934352
Australia,chicken,2011,1012542
Australia,chicken,2012,1046748
Australia,chicken,2013,1066506
Australia,chicken,2014,1103069
Australia,chicken,2015,1115543
Australia,chicken,2016,1191322
Australia,chicken,2017,1229505
Australia,chicken,2018,1193467
Australia,pig,2010,338734
Australia,pig,2011,344266
Australia,pig,2012,351737
Australia,pig,2013,359903
Australia,pig,2014,362192
Australia,pig,2015,371163
Australia,pig,2016,377643
Australia,pig,2017,397139
Australia,pig,2018,417426
Australia,sheep,2010,555206
Australia,sheep,2011,516608
Australia,sheep,2012,554434
Australia,sheep,2013,660437
Australia,sheep,2014,720600
Australia,sheep,2015,721053
Australia,sheep,2016,712525
Australia,sheep,2017,669604
Australia,sheep,2018,735009
