Item,Year,Value
cattle,2010,5676946
cattle,2011,5511545
cattle,2012,5547100
cattle,2013,5532760
cattle,2014,5556997
cattle,2015,5566141
cattle,2016,5565945
cattle,2017,5725595
cattle,2018,5810609
chicken,2010,12184797
chicken,2011,12582062
chicken,2012,13198476
chicken,2013,13326968
chicken,2014,12831940
chicken,2015,12639335
chicken,2016,13485262
chicken,2017,14451797
chicken,2018,14578673
pig,2010,51693862
pig,2011,51593351
pig,2012,54435720
pig,2013,55917319
pig,2014,57660394
pig,2015,57415567
pig,2016,55207733
pig,2017,55451487
pig,2018,54983905
sheep,2010,2070702
sheep,2011,2029596
sheep,2012,2062950
sheep,2013,2090490
sheep,2014,2180913
sheep,2015,2243643
sheep,2016,2347275
sheep,2017,2402457
sheep,2018,2422857
