Item,Year,Value
cattle,2010,38138
cattle,2011,40045
cattle,2012,42287
cattle,2013,44029
cattle,2014,45851
cattle,2015,43672
cattle,2016,41137
cattle,2017,42158
cattle,2018,45998
chicken,2010,1108091
chicken,2011,1147870
chicken,2012,1223188
chicken,2013,1297703
chicken,2014,1415515
chicken,2015,1511442
chicken,2016,1653913
chicken,2017,1648491
chicken,2018,1766369
pig,2010,234000
pig,2011,214308
pig,2012,218471
pig,2013,217422
pig,2014,217558
pig,2015,222598
pig,2016,195176
pig,2017,194375
pig,2018,186012
sheep,2010,716
sheep,2011,823
sheep,2012,1157
sheep,2013,1430
sheep,2014,1551
sheep,2015,1477
sheep,2016,1799
sheep,2017,1503
sheep,2018,1500
