Area,Item,Year,Value
Africa,"Meat indigenous, cattle",1961,1796412
Africa,"Meat indigenous, cattle",1962,1787230
Africa,"Meat indigenous, cattle",1963,1835440
Africa,"Meat indigenous, cattle",1964,1905052
Africa,"Meat indigenous, cattle",1965,1946785
Africa,"Meat indigenous, cattle",1966,2008912
Africa,"Meat indigenous, cattle",1967,2014471
Africa,"Meat indigenous, cattle",1968,2042182
Africa,"Meat indigenous, cattle",1969,2130367
Africa,"Meat indigenous, cattle",1970,2200595
Africa,"Meat indigenous, cattle",1971,2186301
Africa,"Meat indigenous, cattle",1972,2251414
Africa,"Meat indigenous, cattle",1973,2351365
Africa,"Meat indigenous, cattle",1974,2383449
Africa,"Meat indigenous, cattle",1975,2342665
Africa,"Meat indigenous, cattle",1976,2473268
Africa,"Meat indigenous, cattle",1977,2582018
Africa,"Meat indigenous, cattle",1978,2736554
Africa,"Meat indigenous, cattle",1979,2822081
Africa,"Meat indigenous, cattle",1980,2885495
Africa,"Meat indigenous, cattle",1981,2853228
Africa,"Meat indigenous, cattle",1982,3004979
Africa,"Meat indigenous, cattle",1983,3029733
Africa,"Meat indigenous, cattle",1984,3073919
Africa,"Meat indigenous, cattle",1985,3153066
Africa,"Meat indigenous, cattle",1986,3066822
Africa,"Meat indigenous, cattle",1987,2999241
Africa,"Meat indigenous, cattle",1988,2986025
Africa,"Meat indigenous, cattle",1989,3045842
Africa,"Meat indigenous, cattle",1990,3304253
Africa,"Meat indigenous, cattle",1991,3468596
Africa,"Meat indigenous, cattle",1992,3511743
Africa,"Meat indigenous, cattle",1993,3540377
Africa,"Meat indigenous, cattle",1994,3434640
Africa,"Meat indigenous, cattle",1995,3370702
Africa,"Meat indigenous, cattle",1996,3490650
Africa,"Meat indigenous, cattle",1997,3546874
Africa,"Meat indigenous, cattle",1998,3634872
Africa,"Meat indigenous, cattle",1999,3808340
Africa,"Meat indigenous, cattle",2000,3992238
Africa,"Meat indigenous, cattle",2001,3913230
Africa,"Meat indigenous, cattle",2002,4121371
Africa,"Meat indigenous, cattle",2003,4264111
Africa,"Meat indigenous, cattle",2004,4374265
Africa,"Meat indigenous, cattle",2005,4634537
Africa,"Meat indigenous, cattle",2006,4839119
Africa,"Meat indigenous, cattle",2007,4948653
Africa,"Meat indigenous, cattle",2008,5165717
Africa,"Meat indigenous, cattle",2009,5184400
Africa,"Meat indigenous, cattle",2010,5374932
Africa,"Meat indigenous, cattle",2011,5408191
Africa,"Meat indigenous, cattle",2012,5100792
Africa,"Meat indigenous, cattle",2013,5240746
Africa,"Meat indigenous, chicken",1961,268258
Africa,"Meat indigenous, chicken",1962,284599
Africa,"Meat indigenous, chicken",1963,297141
Africa,"Meat indigenous, chicken",1964,318657
Africa,"Meat indigenous, chicken",1965,337849
Africa,"Meat indigenous, chicken",1966,362453
Africa,"Meat indigenous, chicken",1967,390416
Africa,"Meat indigenous, chicken",1968,417799
Africa,"Meat indigenous, chicken",1969,458335
