Item,Year,Value
Agave fibres nes,1990,3191
Agave fibres nes,2000,4006
Agave fibres nes,2010,3982
Agave fibres nes,2018,3966
"Almonds, with shell",1990,206364
"Almonds, with shell",2000,304705
"Almonds, with shell",2010,429747
"Almonds, with shell",2018,453358
"Anise, badian, fennel, coriander",1990,145873
"Anise, badian, fennel, coriander",2000,263964
"Anise, badian, fennel, coriander",2010,599180
"Anise, badian, fennel, coriander",2018,891054
Apples,1990,12084015
Apples,2000,30176354
Apples,2010,45363357
Apples,2018,53523593
Apricots,1990,769446
Apricots,2000,1493982
Apricots,2010,1878791
Apricots,2018,2275653
Areca nuts,1990,502689
Areca nuts,2000,727363
Areca nuts,2010,1081394
Areca nuts,2018,1428503
Artichokes,1990,33438
Artichokes,2000,83307
Artichokes,2010,131154
Artichokes,2018,165731
Asparagus,1990,1528754
Asparagus,2000,4025400
Asparagus,2010,6717324
Asparagus,2018,8058601
Avocados,1990,160943
Avocados,2000,342027
Avocados,2010,440030
Avocados,2018,759310
Bananas,1990,19381110
Bananas,2000,33024791
Bananas,2010,60173325
Bananas,2018,62648176
Barley,1990,20493339
Barley,2000,17510040
Barley,2010,19247807
Barley,2018,20999645
"Bastfibres, other",1990,787598
"Bastfibres, other",2000,317080
"Bastfibres, other",2010,162551
"Bastfibres, other",2018,129484
"Beans, dry",1990,8404911
"Beans, dry",2000,7626479
"Beans, dry",2010,11513723
"Beans, dry",2018,14605780
"Beans, green",1990,4354668
"Beans, green",2000,8030250
"Beans, green",2010,17934269
"Beans, green",2018,22923896
Berries nes,1990,292337
Berries nes,2000,295466
Berries nes,2010,362083
Berries nes,2018,398685
Blueberries,2000,500
Blueberries,2010,800
Blueberries,2018,662
"Broad beans, horse beans, dry",1990,2662082
"Broad beans, horse beans, dry",2000,1899127
"Broad beans, horse beans, dry",2010,1520350
"Broad beans, horse beans, dry",2018,1895012
Buckwheat,1990,1933670
Buckwheat,2000,2013198
Buckwheat,2010,571094
Buckwheat,2018,1263863
Cabbages and other brassicas,1990,20602221
Cabbages and other brassicas,2000,57790047
Cabbages and other brassicas,2010,49773669
Cabbages and other brassicas,2018,54007683
Canary seed,1990,1779
Canary seed,2000,2618
Canary seed,2010,35156
Canary seed,2018,37407
Carobs,1990,24600
Carobs,2000,26100
Carobs,2010,27120
Carobs,2018,25236
Carrots and turnips,1990,3727844
Carrots and turnips,2000,9242286
Carrots and turnips,2010,21599012
Carrots and turnips,2018,25392073
"Cashew nuts, with shell",1990,585021
"Cashew nuts, with shell",2000,1034876
"Cashew nuts, with shell",2010,2165721
"Cashew nuts, with shell",2018,3900035
Cassava,1990,49789984
Cassava,2000,49458536
Cassava,2010,74951543
Cassava,2018,80637819
Castor oil seed,1990,1081984
Castor oil seed,2000,1207226
Castor oil seed,2010,1540116
Castor oil seed,2018,1251034
Cauliflowers and broccoli,1990,5924392
Cauliflowers and broccoli,2000,11423041
Cauliflowers and broccoli,2010,16489583
Cauliflowers and broccoli,2018,21107729
Cereals nes,1990,36120
Cereals nes,2000,123775
Cereals nes,2010,416066
Cereals nes,2018,6401381
Cherries,1990,311613
Cherries,2000,640516
Cherries,2010,895814
Cherries,2018,1129232
"Cherries, sour",1990,109260
"Cherries, sour",2000,170416
"Cherries, sour",2010,320114
"Cherries, sour",2018,394369
Chestnut,1990,328434
Chestnut,2000,777217
Chestnut,2010,1807585
Chestnut,2018,2112252
Chick peas,1990,6047774
Chick peas,2000,6793314
Chick peas,2010,9357389
Chick peas,2018,13228327
Chicory roots,1990,1514
Chicory roots,2000,4991
Chicory roots,2010,6987
Chicory roots,2018,7962
"Chillies and peppers, dry",1990,1201190
"Chillies and peppers, dry",2000,1836998
"Chillies and peppers, dry",2010,2221574
"Chillies and peppers, dry",2018,3019423
"Chillies and peppers, green",1990,5255494
"Chillies and peppers, green",2000,12770957
"Chillies and peppers, green",2010,19942675
"Chillies and peppers, green",2018,24991347
