countries,meat ,,year,volume
ARG,BEEF,KG_CAP,2020,39.74390916
AUS,BEEF,KG_CAP,2020,20.22746576
BGD,BEEF,KG_CAP,2020,0.833402144
BRA,BEEF,KG_CAP,2020,26.00263154
CAN,BEEF,KG_CAP,2020,18.49557028
CHL,BEEF,KG_CAP,2020,17.8422967
CHN,BEEF,KG_CAP,2020,4.351254528
COL,BEEF,KG_CAP,2020,11.57107625
DZA,BEEF,KG_CAP,2020,3.867195508
EGY,BEEF,KG_CAP,2020,9.137366636
ETH,BEEF,KG_CAP,2020,2.393199901
AUT,BEEF,KG_CAP,2020,10.56118755
BEL,BEEF,KG_CAP,2020,10.56118755
BGR,BEEF,KG_CAP,2020,10.56118755
HRV,BEEF,KG_CAP,2020,10.56118755
CYN,BEEF,KG_CAP,2020,10.56118755
CZE,BEEF,KG_CAP,2020,10.56118755
DNK,BEEF,KG_CAP,2020,10.56118755
EST,BEEF,KG_CAP,2020,10.56118755
FIN,BEEF,KG_CAP,2020,10.56118755
ATF,BEEF,KG_CAP,2020,10.56118755
DEU,BEEF,KG_CAP,2020,10.56118755
GRC,BEEF,KG_CAP,2020,10.56118755
IRL,BEEF,KG_CAP,2020,10.56118755
HUN,BEEF,KG_CAP,2020,10.56118755
ITA,BEEF,KG_CAP,2020,10.56118755
LVA,BEEF,KG_CAP,2020,10.56118755
LTU,BEEF,KG_CAP,2020,10.56118755
LUX,BEEF,KG_CAP,2020,10.56118755
NLD,BEEF,KG_CAP,2020,10.56118755
POL,BEEF,KG_CAP,2020,10.56118755
PRT,BEEF,KG_CAP,2020,10.56118755
ESP,BEEF,KG_CAP,2020,10.56118755
SWE,BEEF,KG_CAP,2020,10.56118755
SVK,BEEF,KG_CAP,2020,10.56118755
SVN,BEEF,KG_CAP,2020,10.56118755
GHA,BEEF,KG_CAP,2020,0.797989827
HTI,BEEF,KG_CAP,2020,3.460237425
IDN,BEEF,KG_CAP,2020,1.958945474
IND,BEEF,KG_CAP,2020,0.521903934
IRN,BEEF,KG_CAP,2020,3.314442387
ISR,BEEF,KG_CAP,2020,20.0209692
JPN,BEEF,KG_CAP,2020,6.678657888
KAZ,BEEF,KG_CAP,2020,17.01304659
KOR,BEEF,KG_CAP,2020,10.40459922
MEX,BEEF,KG_CAP,2020,8.817021599
MOZ,BEEF,KG_CAP,2020,0.871111533
MYS,BEEF,KG_CAP,2020,5.502863078
NGA,BEEF,KG_CAP,2020,1.603923547
NZL,BEEF,KG_CAP,2020,13.02915005
PAK,BEEF,KG_CAP,2020,6.342184734
PER,BEEF,KG_CAP,2020,4.738927736
PHL,BEEF,KG_CAP,2020,2.913470937
PRY,BEEF,KG_CAP,2020,25.72578989
RUS,BEEF,KG_CAP,2020,10.16753286
SAU,BEEF,KG_CAP,2020,3.828477658
SDN,BEEF,KG_CAP,2020,0.005744728
THA,BEEF,KG_CAP,2020,1.791946615
TUR,BEEF,KG_CAP,2020,8.464527649
TZA,BEEF,KG_CAP,2020,4.146149347
UKR,BEEF,KG_CAP,2020,5.846685819
URY,BEEF,KG_CAP,2020,43.4590027
USA,BEEF,KG_CAP,2020,26.13342596
VNM,BEEF,KG_CAP,2020,10.13891104
ZAF,BEEF,KG_CAP,2020,10.81402063
ZMB,BEEF,KG_CAP,2020,8.881105214
